Sociable/Adventurous,0.9,1.3,3.5,-0.45,1.2,3.2,0.3,16.7,31.7,Extraversion
Self-Disciplined/Persistent,0.8,1.2,3.96,-0.5,1.2,2.2,0.35,20,35.9,Conscientiousness
Anxious/Dramatic,0.75,1.5,2.3,0.5,1.3,3.6,0.4,13.4,30.1,Neuroticism
Curious/Cultured,0.8,1.4,3.74,-0.45,1.4,3,0.35,14.3,29.7,Openness
Cooperative/Friendly,0.9,1.2,3.65,-0.45,1.1,2.4,0.3,16.6,33.5,Agreeableness
Self-Reflective/Reserved,-0.9,1.7,3.35,0.45,1.2,2.6,-0.3,17.5,31.2,Extraversion
Disorganized/Unconventional,0.8,1.2,2.15,-0.5,1.2,3.8,-0.35,12.1,29.2,Conscientiousness
Calm/Consistent,0.75,1.5,3.68,0.5,1.3,2.7,0.4,18.5,35.4,Neuroticism
Adamant/Focused,0.8,1.7,3.3,-0.45,1.4,3.3,-0.35,16.7,33.2,Openness
Independent/Aloof,0.9,1.2,3.58,-0.45,1.3,2.5,-0.3,18.4,32.9,Agreeableness
Mechanical/Hands-on,0.9,1.9,4.11,-0.45,1.4,2.4,0.3,30.2,30,Realistic
Creative/Intuitive,0.9,1.4,4.76,-0.45,1.3,2.6,0.3,21,20.3,Artistic
Teacher/Helpful,0.9,1.4,4.69,-0.45,1.3,2.8,0.3,24.7,24.1,Social
Persuasive/Enthusiastic,0.9,1.4,4.34,-0.45,1.2,3.6,0.3,29.9,27.5,Enterprising
Inquisitive/Analytical,0.9,1.3,4.31,-0.45,1.4,3.8,0.3,33.7,31.5,Investigative
Detail-Oriented/Thorough,0.9,1.3,4.53,-0.45,1.5,3.1,0.3,35.2,34.1,Conventional
